code,lat,lon,type
ZAL,41.3172766522,2.1345007902,urban-centre
ES0010R,42.3191737364928,3.31582774471254,F – Fons
ES0014R,41.393887,0.7347215,F – Fons
ES0584A,41.482016279,2.188296656,urban-suburban
ES0691A,41.403716,2.204736,urban-centre
ES0692A,41.37076,2.114771,urban-centre
ES0694A,41.392157459,2.009802277,urban-suburban
ES0971A,41.450745,1.975021,urban-suburban
ES1018A,41.556115398,2.007401267,urban-centre
ES1120A,41.115880526,1.191975478,urban-suburban
ES1122A,41.193743,1.236904,R - Rural
ES1123A,41.155004,1.217734,urban-suburban
ES1124A,41.159532,1.239709,urban-suburban
ES1125A,41.730280261,1.825306423,LOCAL
ES1126A,41.475573452,1.923189624,urban-suburban
ES1135A,41.578396,1.623011,LOCAL
ES1148A,41.425620904,2.222244805,urban-centre
ES1208A,41.150778895,1.120171923,urban-suburban
ES1215A,40.706708761,0.581651482,urban-suburban
ES1225A,41.615794867,0.615725897,LOCAL
ES1231A,41.476769365,2.088977264,urban-centre
ES1262A,41.561264,2.101288,urban-centre
ES1275A,41.689049442,2.495746675,urban-suburban
ES1311A,41.958676874,3.212854412,R - Rural
ES1312A,41.103677887,1.200765062,urban-suburban
ES1339A,41.219036461,1.721248774,urban-suburban
ES1347A,42.143260622,2.510206967,R - Rural
ES1348A,42.36839,1.776814,LOCAL
ES1396A,41.378802802,2.133098078,urban-centre
ES1397A,42.003359222,2.287072698,LOCAL
ES1438A,41.385366,2.15403,urban-centre
ES1453A,41.447350254,2.209511187,urban-centre
ES1480A,41.398762,2.153472,urban-centre
ES1551A,41.512675808,2.125383709,urban-centre
ES1642A,41.93501,2.239901,urban-suburban
ES1666A,41.117387934,1.241649688,urban-centre
ES1679A,41.386413934,2.187416735,urban-centre
ES1684A,41.492082863,2.042497085,urban-centre
ES1773A,41.20223184,1.672200024,urban-suburban
ES1778A,41.779343452,2.358018901,R - Rural
ES1812A,41.278381095,1.179916582,R - Rural
ES1814A,41.54924,2.212144,urban-suburban
ES1815A,41.346823038,1.686575492,urban-suburban
ES1816A,41.547159712,2.443253787,urban-centre
ES1817A,41.526705931,2.183795315,urban-suburban
ES1851A,42.097931,1.848338,LOCAL
ES1854A,41.00821168,0.831084709,R - Rural
ES1855A,41.009505689,0.912875859,R - Rural
ES1856A,41.4260772,2.147992032,urban-centre
ES1891A,41.598666901,2.287117688,urban-centre
ES1892A,41.443983561,2.237875306,urban-centre
ES1899A,41.308402497,1.647339954,R - Rural
ES1903A,41.313475208,2.013824628,urban-suburban
ES1910A,41.303112534,1.991523957,urban-suburban
ES1923A,41.846711554,2.217443537,R - Rural
ES1929A,41.32149521,2.09772526,urban-suburban
ES1930A,40.902692904,0.809795431,R - Rural
ES1948A,40.939553197,0.831336974,R - Rural
ES1982A,42.051340687,0.729555647,R - Rural
ES1983A,41.321768405,2.082140639,urban-suburban
ES1992A,41.387273,2.115661,urban-centre
ES1999A,41.976385751,2.816547298,LOCAL
ES2011A,41.400770767,1.999634718,urban-suburban
ES2012A,41.415319291,1.990521216,urban-suburban
ES2017A,40.552819474,0.529982528,R - Rural
ES2034A,41.544104651,0.829933196,R - Rural
ES2090A,41.418413,2.123899,urban-suburban
ES2109A,41.1022222222,1.14944444444,urban-suburban
